TransactionId,ChargePoint,Connector,MeterStart,MeterStop,ConnectedTime,ChargeTime,TotalEnergy,MaxPower,Started,Ended
2027853,AL702,AL702-1,1914890,1927160,1.1242,1.1239,12.27,11.139,1/16/2017 15:50:28,1/16/2017 16:57:55
2832095,REE033,REE033-1,3387910,3396740,8.5575,1.0575,8.83,10.44,12/4/2017 22:42:18,12/5/2017 7:15:45
2583233,AL422,AL422-2,1379050,1396489,1.7292,1.7281,17.439,10.212,6/30/2017 11:04:15,6/30/2017 12:48:00
2408938,AL145,AL145-1,4938560,4977939,3.8844,3.8844,39.379,10.138,4/30/2017 8:39:26,4/30/2017 12:32:30
2778457,DB0283,DB0283-2,2554880,2620390,19.0806,6.4372,65.51,10.32,11/1/2017 14:48:46,11/2/2017 9:53:36
2523992,AL174,AL174-1,762799,770320,1.0119,1.0117,7.521,9.209,6/1/2017 9:57:50,6/1/2017 10:58:33
2149251,DB0164,DB0164-2,311700,340220,11.4447,3.8264,28.52,11.138,2/24/2017 21:22:06,2/25/2017 8:48:47
2827088,AL700,AL700-2,3382060,3406479,2.6492,2.6486,24.419,10.68,12/1/2017 15:00:03,12/1/2017 17:39:00
2420734,AL33,AL33-1,4671633,4674157,0.2517,0.2517,2.524,10.029,5/3/2017 11:21:01,5/3/2017 11:36:07
2812732,AL497,AL497-2,2927239,2960270,3.2169,3.2167,33.031,10.36,11/22/2017 8:19:42,11/22/2017 11:32:43
2503570,EV0103,EV0103-1,3564720,3620080,16.7297,5.7767,55.36,10.149,5/24/2017 16:29:14,5/25/2017 9:13:01
2151656,DB0074,DB0074-2,187050,219040,3.0692,3.0692,31.99,10.52,2/25/2017 18:02:57,2/25/2017 21:07:06
2638451,EV0221,EV0221-1,8785740,8827370,3.9458,3.9458,41.63,10.704,8/3/2017 7:53:38,8/3/2017 11:50:23
2379674,AL307,AL307-2,1432630,1487310,5.2922,5.2919,54.68,10.48,4/22/2017 10:21:24,4/22/2017 15:38:56
2604891,EV0224,EV0224-1,28718790,28738680,2.3656,1.9961,19.89,11.052,7/12/2017 16:43:58,7/12/2017 19:05:54
2471653,DB0217,DB0217-2,779550,812870,3.2586,3.2586,33.32,10.32,5/16/2017 9:03:38,5/16/2017 12:19:09
2020330,AL462,AL462-2,288040,302250,8.3944,1.4419,14.21,9.96,1/13/2017 8:03:29,1/13/2017 16:27:09
2098019,DB0302,DB0302-1,721270,754230,3.2569,3.2569,32.96,10.681,2/6/2017 7:37:01,2/6/2017 10:52:26
2837928,AL878,AL878-2,965250,1012429,11.0444,5.0433,47.179,10.4,12/9/2017 1:41:04,12/9/2017 12:43:44
2751147,AL281,AL281-1,1734300,1747640,1.3342,1.3336,13.34,10.166,10/14/2017 16:51:50,10/14/2017 18:11:53
2430851,AL681,AL681-1,4741150,4797060,11.0125,5.5614,55.91,10.8,5/5/2017 21:26:19,5/6/2017 8:27:04
2026181,REE539,REE539-1,21672710,21718470,3.8281,3.5781,45.76,13.28,1/15/2017 17:24:39,1/15/2017 21:14:20
2225515,DB0133,DB0133-1,893780,929620,7.1856,3.5386,35.84,10.28,3/17/2017 9:42:41,3/17/2017 16:53:49
2480912,EV0163,EV0163-1,12051830,12087740,4.2197,3.9714,35.91,10.562,5/18/2017 15:25:27,5/18/2017 19:38:38
2258182,REE539,REE539-1,24903650,24971880,13.0444,5.8217,68.23,13.12,3/24/2017 19:10:42,3/25/2017 8:13:22
2650710,AL200,AL200-1,2128689,2144760,1.5058,1.5056,16.071,10.84,8/10/2017 19:25:01,8/10/2017 20:55:22
2241024,REE572,REE572-1,6219770,6234650,3.9142,1.4764,14.88,11.36,3/21/2017 6:31:25,3/21/2017 10:26:16
2621489,AL499,AL499-2,1006210,1008219,0.1878,0.1875,2.009,10.715,7/23/2017 13:34:58,7/23/2017 13:46:14
2362018,AL456,AL456-1,2381959,2420270,4.4328,3.75,38.311,10.56,4/18/2017 10:26:02,4/18/2017 14:52:00
2310937,AL768,AL768-1,1789469,1802979,1.2494,1.2494,13.51,12.8,4/6/2017 8:08:52,4/6/2017 9:23:50
1997263,AL758,AL758-1,2203949,2218600,1.6564,1.6564,14.651,13.28,1/2/2017 11:32:06,1/2/2017 13:11:29
2660708,AL421,AL421-1,1780040,1781859,0.1817,0.1811,1.819,10.044,8/17/2017 15:02:47,8/17/2017 15:13:41
2354030,REE231,REE231-1,3179690,3250460,10.3389,6.9539,70.77,10.6,4/15/2017 19:47:46,4/16/2017 6:08:06
2494020,AL748,AL748-2,4104229,4149950,8.4194,8.4189,45.721,10.362,5/22/2017 6:50:24,5/22/2017 15:15:34
2572786,AL758,AL758-2,4823479,4834479,1.0806,1.08,11,10.4,6/24/2017 17:04:20,6/24/2017 18:09:10
2053648,REE551,REE551-1,14768820,14818260,12.4811,3.9811,49.44,13.56,1/25/2017 17:07:31,1/26/2017 5:36:23
2062228,EV0142,EV0142-1,16439410,16459720,1.4897,1.4897,20.31,13.775,1/28/2017 14:23:25,1/28/2017 15:52:48
2236855,AL325,AL325-2,1627270,1668260,10.4003,4.75,40.99,10.56,3/20/2017 3:53:17,3/20/2017 14:17:18
2595472,AL462,AL462-2,1982119,1993359,4.5497,1.2989,11.24,10,7/7/2017 6:25:38,7/7/2017 10:58:37
2140523,REE650,REE650-1,6959420,6964130,1.1481,1.0622,4.71,11.3,2/21/2017 16:11:17,2/21/2017 17:20:10
2109846,DB0047,DB0047-2,647450,652380,0.6144,0.6144,4.93,9.669,2/10/2017 10:44:59,2/10/2017 11:21:51
2514606,REE650,REE650-1,7695910,7718160,8.8592,2.71,22.25,12.718,5/28/2017 20:17:24,5/29/2017 5:08:57
2670454,AL156,AL156-1,1650589,1657520,0.6808,0.6803,6.931,10.32,8/24/2017 12:04:06,8/24/2017 12:44:57
1995911,AL624,AL624-1,724739,733919,1.1506,1.1506,9.18,9.04,1/1/2017 13:58:06,1/1/2017 15:07:08
2002892,DB0205,DB0205-2,144070,182660,5.1583,4.5481,38.59,10.44,1/5/2017 7:37:07,1/5/2017 12:46:37
2111840,AL707,AL707-1,2567629,2637699,13.1986,5.9486,70.07,13.64,2/10/2017 21:20:27,2/11/2017 10:32:22
2704312,EV0032,EV0032-1,27471980,27528400,15.5214,8.2483,56.42,10.089,9/15/2017 17:00:26,9/16/2017 8:31:43
2549662,EV0017,EV0017-1,8865570,8870080,0.4528,0.4528,4.51,9.961,6/13/2017 13:27:40,6/13/2017 13:54:50
2209333,EV0165,EV0165-1,3129430,3133600,0.3839,0.3839,4.17,11.008,3/13/2017 13:47:00,3/13/2017 14:10:02
2050271,AL798,AL798-1,307899,319920,1.7564,1.7564,12.021,10.8,1/24/2017 14:45:10,1/24/2017 16:30:33
2440289,AL129,AL129-1,763320,766510,0.3669,0.3667,3.19,10.629,5/8/2017 12:17:54,5/8/2017 12:39:55
2013106,AL268,AL268-1,223910,235429,1.9914,1.9914,11.519,9.88,1/10/2017 7:26:00,1/10/2017 9:25:29
